id,model_name,type,color,price,price_range,brand,version,name,engine_capacity,engine_type,transmission_type,features,image_url,source_url,source_pid,source_SkuId,source_name,status,create_at,source_id
1,,XE SỐ,N/A,"16,000,000₫",N/A,DAELIM,,DAELIM SIRIUS,,,,,https://product.hstatic.net/200000281285/product/daelim-sirius-trang_50c38e0b00da4f53a7feb57daa622b90_master.jpg,https://hoangcau.com/products/daelim-sirius,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
2,,XE TAY GA,N/A,"23,000,000₫",N/A,DAELIM,,DAELIM CANELY,,,,,https://product.hstatic.net/200000281285/product/daelim-canely-denmo_a842ea4a0a1f476f84d393289d6eb781_master.jpg,https://hoangcau.com/products/dealim-canely,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
3,,XE ĐIỆN,N/A,"21,490,000₫",N/A,YADEA,,YADEA ODORA PRO,,,,,https://product.hstatic.net/200000281285/product/11_8ff3c7977f19467c9fa7fb47e3a64daa_master.png,https://hoangcau.com/products/yadea-odora-pro,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
4,,XE ĐIỆN,N/A,"17,490,000₫",N/A,YADEA,,YADEA XMEN NEO,,,,,https://product.hstatic.net/200000281285/product/14_77fdf2b7a8e1460ba8ca00c57be52379_master.png,https://hoangcau.com/products/yadea-xmen-neo,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
5,,XE ĐIỆN,N/A,"22,990,000₫",N/A,YADEA,,YADEA ORIS,,,,,https://product.hstatic.net/200000281285/product/12_b0da07eaad804df9a10c6c3fc7ca2819_master.png,https://hoangcau.com/products/yadea-oris,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
6,,XE ĐIỆN,N/A,"21,990,000₫",N/A,YADEA,,YADEA OSSY,,,,,https://product.hstatic.net/200000281285/product/13_e0521645ebf34f9f8bbe381f2b9228ba_master.png,https://hoangcau.com/products/yadea-ossy,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
7,,XE TAY GA,N/A,"23,000,000₫",N/A,DAELIM,,DAELIM VENUS,,,,,https://product.hstatic.net/200000281285/product/daelim-venus-denmo_91e490cd5d874fadb43773186fa203e3_master.jpg,https://hoangcau.com/products/venus,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
8,,XE SỐ,N/A,"18,000,000₫",N/A,DAELIM,,DAELIM C6 PLUS,,,,,https://product.hstatic.net/200000281285/product/17_07add51b78164a4aaef186380cdd73f6_master.png,https://hoangcau.com/products/daelim-c6-plus,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
9,,XE TAY GA,Xám Nhám,"45,900,000₫",N/A,YAMAHA,,LEXI 155VVA,,,,,https://product.hstatic.net/200000281285/product/15_18a0b501fe814a4fb09abb9a773ce7b4_master.png,https://hoangcau.com/products/lexi-155vva,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
10,,XE ĐIỆN,N/A,"34,000,000₫",N/A,YAMAHA,,NEO'S,,,,,https://product.hstatic.net/200000281285/product/5_d40a0a1d41aa43ccb266a6e81a8f0098_master.png,https://hoangcau.com/products/neo-s,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
11,,XE SỐ,N/A,"77,000,000₫",N/A,YAMAHA,,XS155R,,,,,https://product.hstatic.net/200000281285/product/2_5b60169850884198a8661b80cfb87073_master.png,https://hoangcau.com/products/xs155r,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
12,,XE SỐ,N/A,"29,000,000₫",N/A,YAMAHA,,PG - 1,,,,,https://product.hstatic.net/200000281285/product/z4935871590301_e3a5c4ef91292c63c1a27e5d3e17c3cb_1b0fbc58f4804c13a7f42a87f182c585_master.jpg,https://hoangcau.com/products/pg-1,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
1,,XE ĐIỆN,N/A,"15,490,000₫",N/A,YADEA,,YADEA I-CUTE,,,,,https://product.hstatic.net/200000281285/product/xanh_trang_230fce061afc4f41b6fee9c52f61f29c_master.jpg,https://hoangcau.com/products/yadea-i-cute,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
2,,XE ĐIỆN,Đen,"13,490,000₫",N/A,YADEA,,YADEA I6,,,,,https://product.hstatic.net/200000281285/product/trang_02043389e357472eab48cac40563795a_master.jpg,https://hoangcau.com/products/yadea-i6,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
3,,XE ĐIỆN,N/A,"13,990,000₫",N/A,YADEA,,YADEA I8,,,,,https://product.hstatic.net/200000281285/product/xanh_53bfd58d86d346c0942a49a4204cd1a8_master.jpg,https://hoangcau.com/products/yadea-i8,,N/A,hoangcau.com,active,2024-12-09 01:36:15.839248,N/A
